שם הספר,שנת הדפסה,מחבר,מקום הדפסה,קטגורייה,מקור,textFileURL,nikudMetegFileURL,OCRDataURL,ocrFeDir,שם הספר [אנגלית],קטגורייה [אנגלית],מחבר [אנגלית],מקום הדפסה [אנגלית],underwentBerelUnflagging,fileName
בית אפרים אבן העזר חלק א,1883,רבי אפרים זלמן מרגליות,ורשא,"שו""ת",,https://files.dicta.org.il/beitephraimevenhaezer1/beitephraimevenhaezer1__text_files.zip,https://files.dicta.org.il/beitephraimevenhaezer1/beitephraimevenhaezer1__nikud_meteg_files.zip,https://files.dicta.org.il/beitephraimevenhaezer1/beitephraimevenhaezer1__ocr_data_html_files.zip,beitephraimevenhaezer1_EGT,Beit Ephraim Even Haezer part 1,Responsa,Rabbi Ephraim Zalman Margolioth,Warsaw,,beitephraimevenhaezer1
בית אפרים אבן העזר חלק ב,1883,רבי אפרים זלמן מרגליות,ורשא,"שו""ת",,https://files.dicta.org.il/beitephraimevenhaezer2/beitephraimevenhaezer2__text_files.zip,https://files.dicta.org.il/beitephraimevenhaezer2/beitephraimevenhaezer2__nikud_meteg_files.zip,https://files.dicta.org.il/beitephraimevenhaezer2/beitephraimevenhaezer2__ocr_data_html_files.zip,beitephraimevenhaezer2_EGT,Beit Ephraim Even Haezer part 2,Responsa,Rabbi Ephraim Zalman Margolioth,Warsaw,,beitephraimevenhaezer2
בית אפרים אבן העזר חלק ג,1883,רבי אפרים זלמן מרגליות,ורשא,"שו""ת",,https://files.dicta.org.il/beitephraimevenhaezer3/beitephraimevenhaezer3__text_files.zip,https://files.dicta.org.il/beitephraimevenhaezer3/beitephraimevenhaezer3__nikud_meteg_files.zip,https://files.dicta.org.il/beitephraimevenhaezer3/beitephraimevenhaezer3__ocr_data_html_files.zip,beitephraimevenhaezer3_EGT,Beit Ephraim Even Haezer part 3,Responsa,Rabbi Ephraim Zalman Margolioth,Warsaw,,beitephraimevenhaezer3
בית אפרים אבן העזר חלק ד,1883,רבי אפרים זלמן מרגליות,ורשא,"שו""ת",,https://files.dicta.org.il/beitephraimevenhaezer4/beitephraimevenhaezer4__text_files.zip,https://files.dicta.org.il/beitephraimevenhaezer4/beitephraimevenhaezer4__nikud_meteg_files.zip,https://files.dicta.org.il/beitephraimevenhaezer4/beitephraimevenhaezer4__ocr_data_html_files.zip,beitephraimevenhaezer4_EGT,Beit Ephraim Even Haezer part 4,Responsa,Rabbi Ephraim Zalman Margolioth,Warsaw,,beitephraimevenhaezer4
בית אפרים,1904,רבי אפרים זלמן מרגליות,ורשה,"שו""ת",,https://files.dicta.org.il/beitephraimorachchaim/beitephraimorachchaim__text_files.zip,https://files.dicta.org.il/beitephraimorachchaim/beitephraimorachchaim__nikud_meteg_files.zip,https://files.dicta.org.il/beitephraimorachchaim/beitephraimorachchaim__ocr_data_html_files.zip,beitephraimorachchaim_EGT,Beit Ephraim Orach Chaim,Responsa,Ephraim Zalman Margulies,,,beitephraimorachchaim
בית אפרים יורה דעה,1884,רבי אפרים זלמן מרגליות,ורשא,"שו""ת",,https://files.dicta.org.il/beitephraimyorehdeah/beitephraimyorehdeah__text_files.zip,https://files.dicta.org.il/beitephraimyorehdeah/beitephraimyorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/beitephraimyorehdeah/beitephraimyorehdeah__ocr_data_html_files.zip,beitephraimyorehdeah_EGT,Beit Ephraim Yoreh Deah,Responsa,Rabbi Ephraim Zalman Margolioth,Warsaw,,beitephraimyorehdeah
בית המלך (בוים),1935,ר' יוסף אריה בוים,לובלין,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/beithamelekhbaum/beithamelekhbaum__text_files.zip,https://files.dicta.org.il/beithamelekhbaum/beithamelekhbaum__nikud_meteg_files.zip,https://files.dicta.org.il/beithamelekhbaum/beithamelekhbaum__ocr_data_html_files.zip,beithamelekhbaum_EGT,Beit Hamelekh (Baum),Commentaries on the Rambam,Yosef Aryeh Baum,Lublin,,beithamelekhbaum
בית לוי,1881,ר' יעקב הלוי קופשטיין,ווילנה,חידושים,ספריית דיקטה,https://files.dicta.org.il/beitlevi1/beitlevi1__text_files.zip,https://files.dicta.org.il/beitlevi1/beitlevi1__nikud_meteg_files.zip,https://files.dicta.org.il/beitlevi1/beitlevi1__ocr_data_html_files.zip,beitlevi1,Beit Levi,chidushim,Yaakov Kopstein,Vilna,,beitlevi1
בית מאיר אורח חיים,1876,ר' מאיר פוזנר,יוזפוב,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/beitmeirorachchayim/beitmeirorachchayim__text_files.zip,https://files.dicta.org.il/beitmeirorachchayim/beitmeirorachchayim__nikud_meteg_files.zip,https://files.dicta.org.il/beitmeirorachchayim/beitmeirorachchayim__ocr_data_html_files.zip,beitmeirorachchayim_EGT,Beit Meir Orach Chayim,Commentaries on Shulchan Aruch,rabbi meir posner,,,beitmeirorachchayim
בית מאיר יורה דעה,1870,ר' מאיר פוזנר,וורשה,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/beitmeiryorehdeah/beitmeiryorehdeah__text_files.zip,https://files.dicta.org.il/beitmeiryorehdeah/beitmeiryorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/beitmeiryorehdeah/beitmeiryorehdeah__ocr_data_html_files.zip,beitmeiryorehdeah_EGT,Beit Meir Yoreh Deah,Commentaries on Shulchan Aruch,rabbi meir posner,Warsaw,,beitmeiryorehdeah
בית יעקב על כתובות,1949,יעקב בן יעקב משה מליסא,ניו יורק,"פרשני הש""ס",,https://files.dicta.org.il/beityaakovketubot/beityaakovketubot__text_files.zip,https://files.dicta.org.il/beityaakovketubot/beityaakovketubot__nikud_meteg_files.zip,https://files.dicta.org.il/beityaakovketubot/beityaakovketubot__ocr_data_html_files.zip,beityaakovketubot_EGT,Beit Yaakov (Ketubot),Shas Commentators,Yaakov ben Yaakov Moshe Lorberbaum of Lissa,New York,,beityaakovketubot
בית יצחק - ברירה (סימנים א-טז),1911,רבי יצחק אייזק חבר,וילנה,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/beityitzchakbrera/beityitzchakbrera__text_files.zip,https://files.dicta.org.il/beityitzchakbrera/beityitzchakbrera__nikud_meteg_files.zip,https://files.dicta.org.il/beityitzchakbrera/beityitzchakbrera__ocr_data_html_files.zip,beityitzchakbrera_EGT,Beit Yitzchak ( brera א-טז),Chiddushim by Topic,Rabbi Yitzchak Isaac Hever,Vilna,,beityitzchakbrera
"בקע לגולגלת (ש""ס)",1884,ר' אליהו אלמליח,ירושלים,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/bekalegulgoleshas/bekalegulgoleshas__text_files.zip,https://files.dicta.org.il/bekalegulgoleshas/bekalegulgoleshas__nikud_meteg_files.zip,https://files.dicta.org.il/bekalegulgoleshas/bekalegulgoleshas__ocr_data_html_files.zip,bekalegulgoleshas,Beka Legulgole (shas),Acharonim on Talmud Bavli,Rabbi Eliyahu Elmaleh,Jerusalem,,bekalegulgoleshas
בקע לגולגלת (ליקוטים),1884,ר' אליהו אלמליח,ירושלים,ביאורים וליקוטים,ספריית דיקטה,https://files.dicta.org.il/bekalegulgoletlikutim/bekalegulgoletlikutim__text_files.zip,https://files.dicta.org.il/bekalegulgoletlikutim/bekalegulgoletlikutim__nikud_meteg_files.zip,https://files.dicta.org.il/bekalegulgoletlikutim/bekalegulgoletlikutim__ocr_data_html_files.zip,bekalegulgoletlikutim,Beka Legulgole (likutim),beurim likutim,Rabbi Eliyahu Elmaleh,Jerusalem,,bekalegulgoletlikutim
"בקע לגולגולת (שו""ך)",1884,ר' אליהו אלמליח,ירושלים,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/bekalegulgoletshulchanaruch/bekalegulgoletshulchanaruch__text_files.zip,https://files.dicta.org.il/bekalegulgoletshulchanaruch/bekalegulgoletshulchanaruch__nikud_meteg_files.zip,https://files.dicta.org.il/bekalegulgoletshulchanaruch/bekalegulgoletshulchanaruch__ocr_data_html_files.zip,bekalegulgoletshulchanaruch,Beka Legulgolet (Shulchan Aruch),Commentaries on Shulchan Aruch,Rabbi Eliyahu Elmaleh,Jerusalem,,bekalegulgoletshulchanaruch
"בקע לגולגלת )התנ""ך)",1884,ר' אליהו אלמליח,ירושלים,"מפרשי תנ""ך)",ספריית דיקטה,https://files.dicta.org.il/bekalegulgolettanach/bekalegulgolettanach__text_files.zip,https://files.dicta.org.il/bekalegulgolettanach/bekalegulgolettanach__nikud_meteg_files.zip,https://files.dicta.org.il/bekalegulgolettanach/bekalegulgolettanach__ocr_data_html_files.zip,bekalegulgolettanach,Beka Legulgolet (tanach),Bible Commentaries,Rabbi Eliyahu Elmaleh,Jerusalem,,bekalegulgolettanach
בשמים ראש,1874,רבי שאול הלוי איש הורוויץ,לבוב,"שו""ת",,https://files.dicta.org.il/besamimrosh/besamimrosh__text_files.zip,https://files.dicta.org.il/besamimrosh/besamimrosh__nikud_meteg_files.zip,https://files.dicta.org.il/besamimrosh/besamimrosh__ocr_data_html_files.zip,besamimrosh,Besamim Rosh,Responsa,Rabbi Shaul Halevi Horwitz,Lvov,,besamimrosh
בית הלוי חלק א,1863,רבי יוסף דב הלוי סולוביצ'יק,וילנה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/bethalevi1/bethalevi1__text_files.zip,https://files.dicta.org.il/bethalevi1/bethalevi1__nikud_meteg_files.zip,https://files.dicta.org.il/bethalevi1/bethalevi1__ocr_data_html_files.zip,bethalevi1_EGT,Bet HaLevi part 1,Responsa,Yosef Duber Soloveitchik,Vilna,,bethalevi1
בית הלוי חלק ב,1874,רבי יוסף דב הלוי סולוביצ'יק,ווארשא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/bethalevi2/bethalevi2__text_files.zip,https://files.dicta.org.il/bethalevi2/bethalevi2__nikud_meteg_files.zip,https://files.dicta.org.il/bethalevi2/bethalevi2__ocr_data_html_files.zip,bethalevi2_EGT,Bet HaLevi part 1,Responsa,Yosef Duber Soloveitchik,Warsaw,,bethalevi2
"שו""ת ביכורי אברהם",1897,"אלישוב, אברהם בן משה",ורשה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/bikureiavrahamresponsa/bikureiavrahamresponsa__text_files.zip,https://files.dicta.org.il/bikureiavrahamresponsa/bikureiavrahamresponsa__nikud_meteg_files.zip,https://files.dicta.org.il/bikureiavrahamresponsa/bikureiavrahamresponsa__ocr_data_html_files.zip,bikureiavrahamresponsa,Bikurei Avraham responsa,Responsa,Avraham Eliashiv,Warsaw,,bikureiavrahamresponsa
בכורי יוסף,1871,יוסף זונדל בן חיים הוטנר,וילנא,ספרי מערכות ועניינים,,https://files.dicta.org.il/bikureiyosef/bikureiyosef__text_files.zip,https://files.dicta.org.il/bikureiyosef/bikureiyosef__nikud_meteg_files.zip,https://files.dicta.org.il/bikureiyosef/bikureiyosef__ocr_data_html_files.zip,bikureiyosef,Bikurei Yosef,Chiddushim by Topic,Yosef Dondel Hutner,Vilna,,bikureiyosef
בנין עולם,1851,רבי יצחק אייזק חבר,ווארשא,"שו""ת",,https://files.dicta.org.il/binyanolam/binyanolam__text_files.zip,https://files.dicta.org.il/binyanolam/binyanolam__nikud_meteg_files.zip,https://files.dicta.org.il/binyanolam/binyanolam__ocr_data_html_files.zip,binyanolam_EGT,Binyan Olam,Responsa,rabbi Itzhak Izak ben Yaakov Heber,Warsaw,,binyanolam
בנין של שמחה,1869,"רבי אברהם שמחה אב""ד סטיסלאוו",וילנה,"שו""ת",,https://files.dicta.org.il/binyanshelsimchah/binyanshelsimchah__text_files.zip,https://files.dicta.org.il/binyanshelsimchah/binyanshelsimchah__nikud_meteg_files.zip,https://files.dicta.org.il/binyanshelsimchah/binyanshelsimchah__ocr_data_html_files.zip,binyanshelsimchah,Binyan Shel Simchah,Responsa,rabbi Avraham Śimḥah me-Amtsislav,Vilna,,binyanshelsimchah
בנין שלמה חלק א,1888,הרב שלמה הכהן מווילנה,וילנה,הלכה,,https://files.dicta.org.il/binyanshlomo1/binyanshlomo1__text_files.zip,https://files.dicta.org.il/binyanshlomo1/binyanshlomo1__nikud_meteg_files.zip,https://files.dicta.org.il/binyanshlomo1/binyanshlomo1__ocr_data_html_files.zip,binyanshlomo1,Binyan Shlomo part 1,halacha,rabbi shlomo hacohen from vilna,Vilna,,binyanshlomo1
בנין שלמה חלק ב,1888,הרב שלמה הכהן מווילנה,וילנה,הלכה,,https://files.dicta.org.il/binyanshlomo2/binyanshlomo2__text_files.zip,https://files.dicta.org.il/binyanshlomo2/binyanshlomo2__nikud_meteg_files.zip,https://files.dicta.org.il/binyanshlomo2/binyanshlomo2__ocr_data_html_files.zip,binyanshlomo2,Binyan Shlomo part 2,halacha,rabbi shlomo hacohen from vilna,Vilna,,binyanshlomo2
בנין ציון החדשות,1878,רבי יעקב עטלינגר,ווילנא,"שו""ת",,https://files.dicta.org.il/binyantsiyonhachadashot/binyantsiyonhachadashot__text_files.zip,https://files.dicta.org.il/binyantsiyonhachadashot/binyantsiyonhachadashot__nikud_meteg_files.zip,https://files.dicta.org.il/binyantsiyonhachadashot/binyantsiyonhachadashot__ocr_data_html_files.zip,binyantsiyonhachadashot_EGT,Binyan Tzion HaChadashot,Responsa,Jacob Ettlinger,Vilna,,binyantsiyonhachadashot
ברכת יהונתן,1902,"אייבשיץ, יהונתן בן נתן נטע",ווארשא,מפרשי השולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/birchatyonatan/birchatyonatan__text_files.zip,https://files.dicta.org.il/birchatyonatan/birchatyonatan__nikud_meteg_files.zip,https://files.dicta.org.il/birchatyonatan/birchatyonatan__ocr_data_html_files.zip,birchatyonatan,Birchat Yonasan,Commentaries on Shulchan Aruch,Jonathan Eybeschutz,Warsaw,,birchatyonatan
ברכת אברהם,1860,"רבי אברהם בן הרמב""ם",ליק,"שו""ת",,https://files.dicta.org.il/birkatavraham/birkatavraham__text_files.zip,https://files.dicta.org.il/birkatavraham/birkatavraham__nikud_meteg_files.zip,https://files.dicta.org.il/birkatavraham/birkatavraham__ocr_data_html_files.zip,birkatavraham_EGT,Birkat Avraham,Responsa,Abraham Maimonides,,,birkatavraham
ברית שלום (מגילות הגדה של פסח),1925,ר' פינחס בן פילטא,ברדיוב,דרשות ודרושים,ספריית דיקטה,https://files.dicta.org.il/britshalommegillothaggadahshelpesach/britshalommegillothaggadahshelpesach__text_files.zip,https://files.dicta.org.il/britshalommegillothaggadahshelpesach/britshalommegillothaggadahshelpesach__nikud_meteg_files.zip,https://files.dicta.org.il/britshalommegillothaggadahshelpesach/britshalommegillothaggadahshelpesach__ocr_data_html_files.zip,britshalommegillothaggadahshelpesach,Brit Shalom (megillot haggadah shel pesach),Derashot,Rabbi Phinehas ben Filta,,,britshalommegillothaggadahshelpesach
חיים שאל חלק א,1886,רבי חיים יוסף דוד אזולאי,למברג,"שו""ת",,https://files.dicta.org.il/chaimsheal1/chaimsheal1__text_files.zip,https://files.dicta.org.il/chaimsheal1/chaimsheal1__nikud_meteg_files.zip,https://files.dicta.org.il/chaimsheal1/chaimsheal1__ocr_data_html_files.zip,chaimsheal1_EGT,Chaim Shaal part 1,Responsa,Chaim Yosef David Azulai,Lemberg,,chaimsheal1
חיים שאל חלק ב,1886,רבי חיים יוסף דוד אזולאי,למברג,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/chaimsheal2/chaimsheal2__text_files.zip,https://files.dicta.org.il/chaimsheal2/chaimsheal2__nikud_meteg_files.zip,https://files.dicta.org.il/chaimsheal2/chaimsheal2__ocr_data_html_files.zip,chaimsheal2,Chaim Shaal part 2,Responsa,Chaim Yosef David Azulai,Lemberg,,chaimsheal2
חנה דוד,1876,הרב יעקב דוד וילובסקי,ווילנא,מפרשי התלמוד,,https://files.dicta.org.il/chanadavid/chanadavid__text_files.zip,https://files.dicta.org.il/chanadavid/chanadavid__nikud_meteg_files.zip,https://files.dicta.org.il/chanadavid/chanadavid__ocr_data_html_files.zip,chanadavid,Chana David,Talmud commentaries,rabbi yaakov david vilvovski,Vilna,,chanadavid
חזון נחום,1939,רבי נחום וידנפלד,בילגורי,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/chazonnachum/chazonnachum__text_files.zip,https://files.dicta.org.il/chazonnachum/chazonnachum__nikud_meteg_files.zip,https://files.dicta.org.il/chazonnachum/chazonnachum__ocr_data_html_files.zip,chazonnachum_EGT,Chazon Nachum,Responsa,"Vaidenfeld, Nahum",Bilgory,,chazonnachum
"חלקו של יוסף (ש""ס)",1926,ר' יוסף זוסמנוביץ',קיידאן,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/chelkoshelyosef/chelkoshelyosef__text_files.zip,https://files.dicta.org.il/chelkoshelyosef/chelkoshelyosef__nikud_meteg_files.zip,https://files.dicta.org.il/chelkoshelyosef/chelkoshelyosef__ocr_data_html_files.zip,chelkoshelyosef,Chelko Shel Yosef shas,Acharonim on Talmud Bavli,"Zusmanovits, Yosef",Kaidan,,chelkoshelyosef
"חלקו של יוסף (רמב""ם)",1926,ר' יוסף זוסמנוביץ',קיידאן,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/chelkoshelyoseframbam/chelkoshelyoseframbam__text_files.zip,https://files.dicta.org.il/chelkoshelyoseframbam/chelkoshelyoseframbam__nikud_meteg_files.zip,https://files.dicta.org.il/chelkoshelyoseframbam/chelkoshelyoseframbam__ocr_data_html_files.zip,chelkoshelyoseframbam_EGT,Chelko Shel Yosef Rambam,Commentaries on the Rambam,"Zusmanovits, Yosef",Kaidan,,chelkoshelyoseframbam
חידוד הלכות על נדה,1880,רבי אלחנן אשכנזי,ווילנא,"מפרשי הש""ס (אחרונים)",,https://files.dicta.org.il/chidudhalachotniddah/chidudhalachotniddah__text_files.zip,https://files.dicta.org.il/chidudhalachotniddah/chidudhalachotniddah__nikud_meteg_files.zip,https://files.dicta.org.il/chidudhalachotniddah/chidudhalachotniddah__ocr_data_html_files.zip,chidudhalachotniddah_EGT,Chidud Halachot Niddah,Acharonim on Talmud Bavli,rabbi elchanan ashkenazi,Vilna,,chidudhalachotniddah
חדושי ר' חיים הלוי,1936,ר' חיים הלוי סולוביצ'יק,בריסק,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/chidusheichaimhalevi/chidusheichaimhalevi__text_files.zip,https://files.dicta.org.il/chidusheichaimhalevi/chidusheichaimhalevi__nikud_meteg_files.zip,https://files.dicta.org.il/chidusheichaimhalevi/chidusheichaimhalevi__ocr_data_html_files.zip,chidusheichaimhalevi_EGT,Chidushei Chaim Halevi,Commentaries on the Rambam,Chaim (Halevi) Soloveitchik,Brisk,,chidusheichaimhalevi
"חידושי הרי""ם על בבא בתרא",1880,הרב יצחק מאיר אלתר (רוטנברג),ווארשא,"פרשני הש""ס",,https://files.dicta.org.il/chidusheiharimbavabatra/chidusheiharimbavabatra__text_files.zip,https://files.dicta.org.il/chidusheiharimbavabatra/chidusheiharimbavabatra__nikud_meteg_files.zip,https://files.dicta.org.il/chidusheiharimbavabatra/chidusheiharimbavabatra__ocr_data_html_files.zip,chidusheiharimbavabatra_EGT,Chiddushei HaRim on Bava Batra,Shas Commentators,Yitzchak Meir Alter,Warsaw,,chidusheiharimbavabatra
