title,PubDate,pubPlace,compPlace,compDate,heShortDesc,order,heDesc
"רש""י על חגי", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על הושע", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על מלכים א", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על שמואל א", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על מלכים ב", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על שמואל ב", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על ישעיהו", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על ירמיהו", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על יואל", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על יונה", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על יהושע", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על שופטים", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על מלאכי", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על מיכה", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על נחום", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על עובדיה", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על זכריה", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על צפניה", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על דברים", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על שמות", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על בראשית", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על ויקרא", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על במדבר", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על דניאל", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על קהלת", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על אסתר", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על עזרא", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על דברי הימים א", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על דברי הימים ב", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על איוב", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על איכה", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על נחמיה", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על משלי", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על תהילים", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על רות", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"רש""י על שיר השירים", (1476 לספירה),"גוודלחרה, ספרד",צרפת של ימי הביניים, (1075 – 1105 לספירה בקירוב),,,
"ריב""א על התורה",,,, (1090 – 1130 לספירה בקירוב),,,
"רא""ש על התורה", (1840 לספירה),"ליבורנו, איטליה",, (1275 – 1325 לספירה בקירוב),,,
ר' סעדיה גאון על בראשית,,,,,,,
ר' סעדיה גאון על עזרא, (1882 לספירה),אוקספורד,, (918 – 942 לספירה בקירוב),,,
ר' סעדיה גאון על נחמיה, (1882 לספירה),אוקספורד,, (918 – 942 לספירה בקירוב),,,
אבן עזרא מהדורא תניינא על אסתר,,,צרפת של ימי הביניים, (1155 – 1165 לספירה בקירוב),,,
ספורנו על דברים, (1567 לספירה),ונציה,בולוניה, (1500 – 1550 לספירה בקירוב),,,
ספורנו על שמות, (1567 לספירה),ונציה,בולוניה, (1500 – 1550 לספירה בקירוב),,,
ספורנו על בראשית, (1567 לספירה),ונציה,בולוניה, (1500 – 1550 לספירה בקירוב),,,
ספורנו על ויקרא, (1567 לספירה),ונציה,בולוניה, (1500 – 1550 לספירה בקירוב),,,
ספורנו על במדבר, (1567 לספירה),ונציה,בולוניה, (1500 – 1550 לספירה בקירוב),,,
ספורנו על שיר השירים, (1567 לספירה),ונציה,, (1500 – 1550 לספירה בקירוב),,,
שלום אסתר, (1580 לספירה),קושטא / קונסטנטינה,, (1560 – 1580 לספירה בקירוב),,,
תולדות יצחק על התורה, (1517 לספירה),קושטא / קונסטנטינה,, (1475 – 1535 לספירה בקירוב),,,
הטור הארוך, (1806 לספירה),ז'ובקבה,, (1280 – 1340 לספירה בקירוב),,,"הפירוש המלא על התורה מר' יעקב בעל הטורים. (הפירוש הנדפס בחומשים בשם ""בעל הטורים"" הוא רק ההקדמות לכל פרשה, בהם כתב המחבר ""מעט פרפראות וגימטריאות וטעמי המסורות להמשיך הלב"")."
צרור המור על התורה, (1502 לספירה),ונציה,, (1460 – 1510 לספירה בקירוב),,,פירוש על התורה בדרך הפשט והנסתר.
תרגום קהלת,,,, (0 – 600 לספירה בקירוב),,,
תרגום אסתר,,,, (350 – 1050 לספירה בקירוב),,,
תרגום איוב,,,, (0 – 600 לספירה בקירוב),,,
תרגום איכה,,,, (0 – 600 לספירה בקירוב),,,
תרגום משלי,,,, (0 – 600 לספירה בקירוב),,,
תרגום תהלים,,,, (0 – 600 לספירה בקירוב),,,
תרגום רות,,,, (0 – 600 לספירה בקירוב),,,
תרגום על שיר השירים, (1919 – 1921 לספירה),ניו יורק,ישראל / בבל התלמודית, (400 – 800 לספירה בקירוב),,,"התרגום למגילת שיר השירים שייך לקובץ התרגומים הארמיים לספרי התנ""ך, אשר שימשו להוראה ולהסברה של הטקסטים בבתי ספר ובבתי כנסת. שפתו של התרגום לשיר השירים הינה בעיקרה ארמית ארץ ישראלית מערבית, עם עקבות של ארמית מזרחית. את גרסתו הנוכחית של התרגום ניתן לתארך למאה ה-7. המדרש אף כולל מספר מילים ערביות, מה שמעלה את ההשערה שבמהלך התקופה המוסלמית נוספו תוספות ושינויים לטקסט. נושא אחיד שזור לאורך התרגום, אשר מספר את ההיסטוריה של עם ישראל מיציאת מצרים ועד חורבן המקדש. שתי שכבות טקסט מצויות בתרגום: תרגום פשוט של הטקסט המקראי, ולצדו מדרש דרשני רחב. התרגום היה כל-כך פופולרי שהוא תורגם ליידיש, לאדינו, לטינית, ערבית יהודית, פרסית יהודית, ארמית חדשה ומספר שפות אירופאיות מודרניות."
תרגום שני על אסתר,,,,,,,
תרגום אונקלוס על דברים, (1482 לספירה),בולוניה,ישראל / בבל התלמודית, (80 – 120 לספירה בקירוב),,,"תרגום אונקלוס הינו התרגום הארמי המזרחי (בבלי) הרשמי לתורה, אך יכול להיות שמקורו המוקדם דווקא במערב, בארץ ישראל. יש המייחסים את התרגום לעקילס הגר מסינופ, בתרגום ארמי לשמו, או המאמינים כי השם ""אונקלוס"" התייחס במקור לעקילס, אך יוחס בטעות לתרגום הארמי במקום זה היווני. התרגום ייחודי בכך שהוא נמנע מכל סוג של האנשה. שמואל לוצאטו מציע שהתרגום נועד במקור ל""אנשים הפשוטים"". דעה זו הוכחשה בתוקף על ידי נתן מרקוס אדלר בהקדמתו ל""נתינה לגר"". בתקופת התלמוד, ועד ימינו בקהילות יהודיות תימניות, תרגום אונקלוס דוקלם בעל פה כתרגום על הסדר, לאחר כל פסוק בעברית מהפרשה שהוקרא בבית הכנסת. התלמוד מצהיר כי ""לעולם ישלים אדם פרשיותיו עם הצבור, שנים מקרא ואחד תרגום"", ומשפט זה מובן על ידי רבים כמתייחס לתרגום אונקלוס."
תרגום אונקלוס על שמות, (1482 לספירה),בולוניה,ישראל / בבל התלמודית, (80 – 120 לספירה בקירוב),,,
תרגום אונקלוס על בראשית, (1482 לספירה),בולוניה,ישראל / בבל התלמודית, (80 – 120 לספירה בקירוב),,,
תרגום אונקלוס על ויקרא, (1482 לספירה),בולוניה,ישראל / בבל התלמודית, (80 – 120 לספירה בקירוב),,,
תרגום אונקלוס על במדבר, (1482 לספירה),בולוניה,ישראל / בבל התלמודית, (80 – 120 לספירה בקירוב),,,
"תפסיר רס""ג", (1546 לספירה),קושטא / קונסטנטינה,, (918 – 942 לספירה בקירוב),,,
תרגום ירושלמי, (1552 לספירה),"ליבורנו, איטליה",, (380 – 1180 לספירה בקירוב),,,
תרגום דברי הימים א,,,בבל התלמודית, (350 – 1150 לספירה בקירוב),,,התרגום הארמי לדברי הימים נתייחס להאמורא רב יוסף בר חייא ונקרא על שמו: תרגום רב יוסף.
תרגום דברי הימים ב,,,בבל התלמודית, (350 – 1150 לספירה בקירוב),,,התרגום הארמי לדברי הימים נתייחס להאמורא רב יוסף בר חייא ונקרא על שמו: תרגום רב יוסף.
תרגום יונתן על עמוס,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על יחזקאל,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על חבקוק,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על חגי,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על הושע,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על מלכים א,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על שמואל א,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על מלכים ב,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על שמואל ב,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על ישעיהו,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על ירמיהו,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על יואל,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על יונה,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על יהושע,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על שופטים,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על מלאכי,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על מיכה,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על נחום,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על עובדיה,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על זכריה,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על צפניה,,,ישראל / בבל התלמודית," (150 לפנה""ס  – 350 לספירה בקירוב)",,,
תרגום יונתן על דברים, (1524 לספירה),ונציה,ישראל התלמודית, (30 – 70 לספירה בקירוב),,,
תרגום יונתן על שמות, (1524 לספירה),ונציה,ישראל התלמודית, (30 – 70 לספירה בקירוב),,,
תרגום יונתן על בראשית, (1524 לספירה),ונציה,ישראל התלמודית, (150 – 250 לספירה בקירוב),,,"התרגום המיוחס ליונתן (פסאודו יונתן) הינו תרגום מערבי, ארץ ישראלי, של חמשת חומשי התורה (לעומת תרגום אונקלוס, שמקורו בבבל המזרחית). שמו המקורי של התרגום, בו היה מוכר בימי הביניים, היה ""תרגום ירושלמי"", אך בשל טעות מדפיס קיבל התרגום מאוחר יותר את הכינוי ""תרגום יונתן"", אשר התייחס ליונתן בן עוזיאל. מהדורות מסוימות של התורה עדיין קוראות לתרגום ""תרגום יונתן"", אך מרבית החוקרים מתייחסים לטקסט כ""תרגום המיוחס ליונתן"". התרגום אינו רק תרגום מילולי. הוא כולל חומר אגדי רב, המלוקט ממקורות שונים, ביניהם מקורות מאוחרים כמו מדרש רבה, וחומר קדום יותר, מהתלמוד. החיבור הינו בעצם עירוב של פרשנות ותרגום. במקומות בהם התרגום מספק תרגום בלבד, הוא לעתים קרובות מסכים עם תרגומו של אונקלוס. תאריך חיבור התרגום נתון במחלוקת. היות ויש בו התייחסות לאשתו של מוחמד, פאטימה, אנו יודעים שהחיבור לא הושלם לפני הכיבוש הערבי, אך יכול להיות שגרסתו המקורית הושלמה במאה ה-4 לספירה. חוקרים אחרים מתארכים את היצירה למאה ה-14."
תרגום יונתן על ויקרא, (1524 לספירה),ונציה,ישראל התלמודית, (30 – 70 לספירה בקירוב),,,
תרגום יונתן על במדבר, (1524 לספירה),ונציה,ישראל התלמודית, (30 – 70 לספירה בקירוב),,,
תרגום ניאופיטי, (1968 – 1979 לספירה),טורינו,ישראל התלמודית, (30 – 70 לספירה בקירוב),,,
דברים, (1488 לספירה),שונצינו,סיני / כנען," (1400 – 400 לפנה""ס בקירוב)",,,"ספר דברים הוא החמישי בחמשת חומשי התורה ומורכב בעיקר מנאומיו האחרונים של משה טרם מותו. משה מזכיר לבני ישראל אירועי מפתח שקרו במדבר, דוגמת מתן תורה, חטא העגל וחטא המרגלים. נוסף על כך הוא סוקר את המצוות שניתנו לבני ישראל בעבר ומוסיף פרטים המתאימים לחיים בארץ, ובהם ריכוז עבודת הקורבנות במקום אשר יבחר האל וסדרי המשפט. לקראת סיום מתואר מעמד הקללה והברכה בהר גריזים והר עיבל ומובאת שירת האזינו, המדגישה את חובת ההליכה בדרכי אלוהים."
שמות, (1488 לספירה),שונצינו,סיני / כנען," (1400 – 400 לפנה""ס בקירוב)",,,"ספר שמות הוא השני בחמשת חומשי התורה. ראשיתו בעבדות ישראל במצרים ובשחרור ממנה, בקריעת ים סוף ובמעמד הר סיני, שבו אלוהים נותן לעם ישראל את עשרת הדיברות וכורת עימם ברית. המשכו של הספר מתמקד בהקמת המשכן במדבר, בעבודת הקורבנות ובהכשרת הכהנים המשרתים בו וכן בציון יותר ממאה מצוות הנוגעות לנושאים דוגמת השבת, איסורי עבודה זרה ויחסים ממוניים בין בני אדם."
בראשית, (1488 לספירה),שונצינו,סיני / כנען," (1400 – 400 לפנה""ס בקירוב)","בריאת העולם, תחילתה של האנושות וסיפורי האבות והאמהות.",1.0,"ספר בראשית הוא הספר הראשון בחמשת חומשי התורה והיחיד הכולל כמעט אך ורק סיפורים - ורק שלושה חוקים מפורשים. הוא מספר על תולדות האדם ועם ישראל בסיפורי הבריאה, אדם חוה, תיבת נח, האבות והאימהות - אברהם ושרה, יצחק ורבקה, יעקב, רחל ולאה ויוסף ואחיו. עלילותיו מתארות דמויות המתעמתות עם אלוהים ומתמודדות עם אתגרי גלות ונדודים ועם מאבקים פנים-משפחתיים."
ויקרא, (1488 לספירה),שונצינו,סיני / כנען," (1400 – 400 לפנה""ס בקירוב)",,,"ספר ויקרא הוא השלישי בחמשת חומשי התורה ועוסק ברובו בעבודת המשכן: סוגי הקורבנות, תפקידי הכהנים המשרתים בו והקדשת המשכן. הספר מתאר גם דיני טומאה וטהרה, דיני צרעת הגוף הכלים והבית, מאכלות אסורים ומותרים, איסורי עריות, פרקי המועדות, הלכות היובל והשמיטה וכן מגוון דיני מוסר."
במדבר, (1488 לספירה),שונצינו,סיני / כנען," (1400 – 400 לפנה""ס בקירוב)",,,"ספר במדבר הוא הרביעי בחמשת חומשי התורה ועוסק בנדודי בני ישראל במדבר במשך ארבעים שנה. הספר מציין כמה מפקדים וכן סדרת תלונות, חטאים ועונשים, ובהם חטא קורח ועדתו ופרשת המרגליםֿ. בספר תיאור של מלחמות בני ישראל עם העמים שהם פוגשים בדרך וכן פרשת בלק, המבקש לקלל את בני ישראל. נוסף על כך מובאות כמה מצוות, דוגמת הפרשת חלה, דיני מועדים ומצוות ציצית. הספר מסתיים בפירוט מסעי בני ישראל במדבר ותיאור גבולות ארץ ישראל."
דניאל, (1488 לספירה),שונצינו,בבל (עיר)," (400 – 200 לפנה""ס בקירוב)",,,"דניאל הוא אחד הספרים שבחטיבת הכתובים שבמקרא. הוא מתוארך לתקופה שבין חורבן בית המקדש הראשון לבניין בית המקדש השני. מחציתו הראשונה של הספר, שרובה כתוב ארמית, כוללת סיפורים על דניאל, יועץ יהודי למלכי בבל, ושלושת חבריו. דניאל פותר חלומות ומפרש מסרים שמיימיים וניצל בנס מכמה ניסיונות להורגו, כגון היחלצותו ללא פגע מגוב אריות. במחצית השנייה של הפר דניאל מתאר חזיונות נבואיים על נפילת האימפריות הגדולות ועל אחרית הימים."
קהלת, (1488 לספירה),שונצינו,יהודה / ישראל," (900 – 100 לפנה""ס בקירוב)",,,"ספר קהלת הוא אחד מקובץ חמש מגילות שבחטיבת הכתובים, ונהוג לקוראו בציבור בשבת חול המועד סוכות. פסוק הפתיחה של המגילה מייחס אותה לבנו של דוד המלך (המזוהה במסורת עם שלמה המלך). הספר בוחן את משמעות החיים ועוסק במוות, בבטלה ובחיפוש אחר תכלית. לעיתים קרובות הוא חוזר על המסקנה כי ""הכול הבל"" וטוען כי ""אין חדש תחת השמש"", אך סיכומו הוא כי אפשר למצוא את תכלית החיים ביראת הא-ל ובדבקות בחוקיו."
אסתר, (1488 לספירה),שונצינו,שושן," (400 – 200 לפנה""ס בקירוב)",,,"מגילת אסתר, אחת מקובץ חמש המגילות שבחטיבת הכתובים שבמקרא, מספרת את סיפורה של אסתר, יהודייה שנעשית למלכה פרס, ועם דודה מרדכי מסכלת את מזימתו המרושעת של המן להשמיד את היהודים. להנצחת המהפך ""מיגון לשמחה ומאבל ליום טוב"" (אסתר ט, כב) קבעו אסתר ומרדכי את חג הפורים. מגילת אסתר נקראת בציבור בליל חג הפורים ובבוקרו."
עזרא, (1488 לספירה),שונצינו,יהודה של ימי בית שני," (450 – 350 לפנה""ס בקירוב)",,,"עזרא הוא אחד הספרים שבחטיבת הכתובים שבמקרא, ובמקור נכלל בו גם ספר נחמיה. שני הספרים מתארים את שיבת ציון במאה השישית והחמישית לפני הספירה לאחר כמה עשורים של גלות בבבל. בספר עזרא מתוארים האתגרים שעמדו בפני בוני המקדש וחגיגות חנוכת הבית עם סיום הבנייה. כמו כן מסופר בו על עזרא הסופר, שבהנהגתו ניאותה קבוצה של יהודים שנשאו נשים לא יהודיות לשלח את נשותיהם."
דברי הימים א, (1488 לספירה),שונצינו,יהודה של ימי בית שני," (450 – 350 לפנה""ס בקירוב)",,,"דברי הימים א, מחציתו הראשונה של הספר האחרון בתנ""ך, חוזר על ההיסטוריה המקראית החל מימי האדם הראשון. אומנם חלקים מהספר תואמים לפרטים שנזכרו בתורה ובנביאים ראשונים, אולם יש בו גם תוספות רבות, חוסרים והסברים חלופיים. עשרת הפרקים הראשונים של הספר סוקרים את תולדות העולם עד ימי מלכותו של שאול בעיקר באמצעות רשימות יוחסין, ו-19 הפרקים האחרים נוגעים בעיקר למלכות דוד ולראשית ימי שלטון שלמה בשימת דגש על מרכזיותה של ירושלים ועל יציבות שושלת בית דוד."
דברי הימים ב, (1488 לספירה),שונצינו,יהודה של ימי בית שני," (450 – 350 לפנה""ס בקירוב)",,,"דברי הימים ב, המחצית השנייה של הספר האחרון בתנ""ך, חוזר על ההיסטוריה המקראית מימי מלכות שלמה ועד חורבן בית המקדש הראשון והצהרת כורש. אומנם חלקים מהספר תואמים לפרטים שנזכרו בתורה ובנביאים אחרונים, אולם יש בו גם תוספות רבות, חוסרים והסברים חלופיים. לדוגמה, הספר מתמקד בקורות מלכי יהודה ומזכיר רק לעיתים רחוקות את קורות ממלכת ישראל."
איוב, (1488 לספירה),שונצינו,יהודה / ישראל," (1300 – 300 לפנה""ס בקירוב)",,,"איוב הוא הספר השלישי בחטיבת כתובים. הוא פותח בשטן המשכנע את הא-ל להעמיד במבחן את אמונתו של איוב, אדם צדיק ועשיר, ולהמיט עליו שרשרת אסונות. צערו של איוב על האסונות שאירעו לו מעורר שיח בינו ובין רעיו על שאלת צדיק ורע לו, ואיוב נע בין צידוק הדין לכעס על שאירע. בסופו של דבר הא-ל משוחח עם איוב ומסביר שהאדם אינו מסוגל להבין את דרכי הא-ל. הספר מסתיים כשאיוב משתקם, בונה משפחה חדשה ושב ומתבסס בנחלתו."
איכה, (1488 לספירה),שונצינו,יהודה / ישראל," (600 – 500 לפנה""ס בקירוב)",,,"ספר איכה, אחד מקובץ חמש מגילות שבחטיבת הכתובים שבמקרא, הוא מגילת קינות על חורבן בית המקדש הראשון בירושלים ועל גלות שבט יהודה במהלך המאה השישית לפני הספירה. המגילה, המיוחסת בתלמוד הבבלי לירמיהו הנביא, מתארת בשירה נוגה את סבל העיר ותושביה ומתמודדת עם נימוקים והצדקות תאולוגיות לסבל זה. היא נקראת בציבור בתשעה באב."
נחמיה, (1488 לספירה),שונצינו,יהודה של ימי בית שני," (450 – 350 לפנה""ס בקירוב)",,,"נחמיה הוא אחד הספרים שבחטיבת הכתובית שמקרא, ועל פי החלוקה המסורתית, היה חלק מספר עזרא. רובו סיפור בגוף ראשון מפי נחמיה, שר המשקים היהודי של מלך פרס, ששב לירושלים במאה החמישית לפני הספירה ומונה לפחת יהודה. נחמיה מפקח על שיקום חומות העיר, והבנייה נמשכת 52 יום. כמו כן הוא יוצא נגד אויבי יהודה המנסים לפגוע בבונים, מסייע באכלוס העיר מחדש, אוכף את שמיטת החובות ומסייע לעזרא בהנהגת התחייה הדתית."
משלי, (1488 לספירה),שונצינו,יהודה / ישראל," (800 – 400 לפנה""ס בקירוב)",,,"משלי הוא הספר השני בחטיבת כתובים, ועניינו הדרכה לחיי מוסר, חוכמה וצדק המוגשת בפתגמים ובאמרי מוסר שיריים. יש בספר גם אמירות כלליות על טבע האדם וגם הנחיות מעשיות להתנהגות ראויה, וכמה מנושאיו העיקריים הם הימנעות מהשפעה שלילית, האדרת ערך העמל, שימוש נכון בכוח הדיבור והחשיבות של יראת אלוקים."
תהילים, (1488 לספירה),שונצינו,יהודה / ישראל," (1000 – 0 לפנה""ס בקירוב)",,,"תהילים, הספר הפותח את ספרי הכתובים, הוא קובץ של מאה וחמישים מזמורים המיוחסים לדוד המלך ולאישים אחרים. יש בספר מזמורי תהילה לא-ל, קינות על אסונות אישיים ולאומיים והבעת רגשות זעם, ייאוש, תקווה ושבח. מזמורי תהילים משולבים רבות בסדר התפילה ומושרים או מדוקלמים לעיתים קרובות כתפילה בפני עצמה."
רות, (1488 לספירה),שונצינו,יהודה / ישראל," (900 – 400 לפנה""ס בקירוב)",,,"מגילת רות היא השנייה בקובץ חמש מגילות שבחטיבת הכתובים שבמקרא, ונקראת בחג השבועות. היא מספרת את סיפורה של רות, אלמנה שמוצאה במואב, הדבקה בחמותה האלמנה היהודייה ומצהירה ""באשר תלכי אלך, עמך עמי ואלוקייך אלוקיי"" (רות א, טז). נאמנותה של רות מוליכה אותה לשדהו של מיטיבה בועז, והוא נושא אותה לאישה. בנם הנולד להם נעשה לימים סבו של דוד המלך."
שיר השירים, (1488 לספירה),שונצינו,יהודה / ישראל," (900 – 100 לפנה""ס בקירוב)",,,"שיר השירים הוא המגילה הראשונה שבחמש המגילות, קובץ בחטיבת הכתובים שבמקרא, ופסוק הפתיחה של המגילה מייחס אותה לשלמה המלך. המגילה מורכבת מסדרה של שירי אהבה המתארים את חיפושיהם ההדדיים של האוהבים בין כרמים ושדות מלבלבים. חז""ל פירשו את המגילה כאלגוריה ליחסי עם ישראל עם אלוקיו, והיא נקראת בציבור בשבת חול המועד פסח ובערבי שבת."
פירוש קצר על ביצה, (1962 לספירה),ניו יורק,ניו יורק, (1949 – 1961 לספירה בקירוב),,,פירוש קצר שכתב פרופסור שאול ליברמן במאה ה-20.
פירוש קצר על חגיגה, (1962 לספירה),ניו יורק,ניו יורק, (1949 – 1961 לספירה בקירוב),,,פירוש קצר שכתב פרופסור שאול ליברמן במאה ה-20.
פירוש קצר על עירובין, (1962 לספירה),ניו יורק,ניו יורק, (1949 – 1961 לספירה בקירוב),,,פירוש קצר שכתב פרופסור שאול ליברמן במאה ה-20.
פירוש קצר על מגילה, (1962 לספירה),ניו יורק,ניו יורק, (1949 – 1961 לספירה בקירוב),,,פירוש קצר שכתב פרופסור שאול ליברמן במאה ה-20.
פירוש קצר על מועד קטן, (1962 לספירה),ניו יורק,ניו יורק, (1949 – 1961 לספירה בקירוב),,,פירוש קצר שכתב פרופסור שאול ליברמן במאה ה-20.
פירוש קצר על פסחים, (1962 לספירה),ניו יורק,ניו יורק, (1949 – 1961 לספירה בקירוב),,,פירוש קצר שכתב פרופסור שאול ליברמן במאה ה-20.
פירוש קצר על ראש השנה, (1962 לספירה),ניו יורק,ניו יורק, (1949 – 1961 לספירה בקירוב),,,פירוש קצר שכתב פרופסור שאול ליברמן במאה ה-20.
פירוש קצר על שבת, (1962 לספירה),ניו יורק,ניו יורק, (1949 – 1961 לספירה בקירוב),,,פירוש קצר שכתב פרופסור שאול ליברמן במאה ה-20.
פירוש קצר על שקלים, (1962 לספירה),ניו יורק,ניו יורק, (1949 – 1961 לספירה בקירוב),,,פירוש קצר שכתב פרופסור שאול ליברמן במאה ה-20.
פירוש קצר על סוכה, (1962 לספירה),ניו יורק,ניו יורק, (1949 – 1961 לספירה בקירוב),,,פירוש קצר שכתב פרופסור שאול ליברמן במאה ה-20.
פירוש קצר על תענית, (1962 לספירה),ניו יורק,ניו יורק, (1949 – 1961 לספירה בקירוב),,,פירוש קצר שכתב פרופסור שאול ליברמן במאה ה-20.
פירוש קצר על יומא, (1962 לספירה),ניו יורק,ניו יורק, (1949 – 1961 לספירה בקירוב),,,
